id,entity,metric,value,unit,observation_period,evidence_status,source_id,source_url,source_location,retrieved,notes
I_2030_CAP,IREN,2030 capped-call cap,25.86,USD_per_share,2026-06-30,contractual_term,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 17,2026-09-26,"Protection ceiling, not an appraisal or verified remaining hedge notional."
M_REV,Microsoft,revenue,331.839,USD_billion,FY2026 ended 2026-06-30,reported_actual,MSREL,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q4/press-release-webcast,financial statements,2026-09-26,"Total company, not AI segment."
M_OCF,Microsoft,operating cash flow,182.935,USD_billion,FY2026 ended 2026-06-30,reported_actual,MSREL,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q4/press-release-webcast,financial statements,2026-09-26,"Total company, not AI segment."
M_CASH_PPE,Microsoft,cash property and equipment investment,115.948,USD_billion,FY2026 ended 2026-06-30,reported_actual,MSREL,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q4/press-release-webcast,financial statements,2026-09-26,"Total company, not AI segment."
M_SBC,Microsoft,stock-based compensation,12.405,USD_billion,FY2026 ended 2026-06-30,reported_actual,MSREL,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q4/press-release-webcast,financial statements,2026-09-26,"Total company, not AI segment."
M_OI,Microsoft,operating income,155.237,USD_billion,FY2026 ended 2026-06-30,reported_actual,MSREL,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q4/press-release-webcast,financial statements,2026-09-26,"Total company, not AI segment."
M_NEW_FL,Microsoft,new finance-lease assets,24.608,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Note 14, p78",2026-09-26,Noncash capital acquisition charged as economic investment.
M_FL_PRINCIPAL,Microsoft,finance-lease principal payments,3.101,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Note 14, p78",2026-09-26,Earlier cash-proxy comparison only; not deducted again in the all-capital model.
M_FL_INTEREST,Microsoft,finance-lease cash interest,2.547,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Note 14, p78",2026-09-26,Included in cash operations.
M_FL_DEBT,Microsoft,finance-lease liability,66.594,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Note 14, p78",2026-09-26,Debt-like claim in all-capital bridge.
M_CASH,Microsoft,cash and short-term investments,76.843,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"balance sheet, p52",2026-09-26,Full credit is permissive; required operating liquidity is not reconstructed.
M_DEBT_FACE,Microsoft,debt principal,46.136,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Note 10, p72",2026-09-26,"Maturity claim, not market value."
M_DEBT_BOOK,Microsoft,debt carrying value,40.294,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Note 10, p72",2026-09-26,Includes fair-value hedge and unamortized adjustments; not current market price.
M_DEBT_FV,Microsoft,estimated debt fair value,36.5,USD_billion,FY2026/2026-06-30,issuer_fair_value_estimate,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Note 10, p72",2026-09-26,June estimate used in basic bridge; not a September bond quote.
M_INTEREST_EXP,Microsoft,interest expense,3.051,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,Note 3,2026-09-26,"Accrual proxy for financing adjustment, not a full cash-interest reconstruction."
M_INTEREST_INC,Microsoft,interest and dividend income,3.301,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,Note 3,2026-09-26,Removed with an assumed marginal tax rate.
M_OTHER_INV,Microsoft,equity and other investments carrying value,36.348,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,balance sheet,2026-09-26,Not an independent OpenAI appraisal.
M_OAI_COMMIT,Microsoft,unfunded OpenAI commitment,1.1,USD_billion,FY2026/2026-06-30,reported_future_commitment,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,OpenAI disclosure,2026-09-26,"Modeled once in year one, separately from existing holding value."
M_UNCOMMENCED_LEASE,Microsoft,leases not yet commenced,329.1,USD_billion,FY2026/2026-06-30,reported_future_commitment,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,"Note 14, p78",2026-09-26,Not current funded debt or additive to the same modeled future investment.
M_OAI_REV,Microsoft,OpenAI revenue including revenue sharing,24.1,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,OpenAI disclosure,2026-09-26,"Recognized commerce, not matched collections or investment distributions."
M_OAI_AR,Microsoft,OpenAI receivables,6,USD_billion,FY2026/2026-06-30,reported_actual,MSK,https://microsoft.gcs-web.com/static-files/8a9beeed-0e9e-48e6-b4fb-593d558e2693,OpenAI disclosure,2026-09-26,Receivables are not same-period cash.
P_FEE,Childress Microsoft cohort,aggregate tranche fees,9.664199424,USD_billion,2025-11-02/03 contract and budget,contractual_term,SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,SOW 3.2; fee table,2026-09-26,"Equal service months and phase weights are model conventions, not actual invoices. Previously received advances are excluded from future receipts; credits are retained."
P_ADVANCE_SHARE,Childress Microsoft cohort,customer advance share,0.2,fraction,2025-11-02/03 contract and budget,contractual_term,SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,SOW 3.2; fee table,2026-09-26,"Equal service months and phase weights are model conventions, not actual invoices. Previously received advances are excluded from future receipts; credits are retained."
P_MONTHS,Childress Microsoft cohort,service-equivalent term,60,months,2025-11-02/03 contract and budget,contractual_term,SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,SOW 3.2; fee table,2026-09-26,"Equal service months and phase weights are model conventions, not actual invoices. Previously received advances are excluded from future receipts; credits are retained."
P_CREDIT_START,Childress Microsoft cohort,modeled advance-credit start,25,month,2025-11-02/03 contract and budget,contractual_term,SOW,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000015/exhibit103-partnerstatem.htm,SOW 3.2; fee table,2026-09-26,"Equal service months and phase weights are model conventions, not actual invoices. Previously received advances are excluded from future receipts; credits are retained."
P_MW,Childress Microsoft cohort,IT capacity,200,MW,2025-11-02/03 contract and budget,company_project_plan_or_budget,DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slides 4–5,2026-09-26,"Original budget and planned capacity; not final cost, current remaining expenditure, or all-phase acceptance."
P_GPU,Childress Microsoft cohort,equipment and ancillary budget,5.8,USD_billion,2025-11-02/03 contract and budget,company_project_plan_or_budget,DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slides 4–5,2026-09-26,"Original budget and planned capacity; not final cost, current remaining expenditure, or all-phase acceptance."
P_FACILITY_LOW,Childress Microsoft cohort,facility budget low,2.8,USD_billion,2025-11-02/03 contract and budget,company_project_plan_or_budget,DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slides 4–5,2026-09-26,"Original budget and planned capacity; not final cost, current remaining expenditure, or all-phase acceptance."
P_FACILITY_HIGH,Childress Microsoft cohort,facility budget high,3.2,USD_billion,2025-11-02/03 contract and budget,company_project_plan_or_budget,DECK,https://iren.gcs-web.com/static-files/a421bb34-0156-4687-be7d-19f53a5236e5,slides 4–5,2026-09-26,"Original budget and planned capacity; not final cost, current remaining expenditure, or all-phase acceptance."
CW_FACE,CoreWeave,closed note principal,4.2,USD_billion,2026-09-22,completed_transaction,CWCLOSE,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000432/crwv-20260917.htm,Items 1.01/2.03,2026-09-26,Later closing includes the exercised option. Separate from September 18 pricing; no cutoff cash balance inferred.
CW_NET,CoreWeave,net proceeds before other issuer expenses,4.137,USD_billion,2026-09-22,completed_transaction,CWCLOSE,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000432/crwv-20260917.htm,Items 1.01/2.03,2026-09-26,Later closing includes the exercised option. Separate from September 18 pricing; no cutoff cash balance inferred.
CW_CAPCOST,CoreWeave,capped-call cost,0.5662,USD_billion,2026-09-22,completed_transaction,CWCLOSE,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000432/crwv-20260917.htm,Items 1.01/2.03,2026-09-26,Later closing includes the exercised option. Separate from September 18 pricing; no cutoff cash balance inferred.
CW_COUPON,CoreWeave,annual coupon,0.02875,fraction,2026-09-22,contractual_term,CWCLOSE,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000432/crwv-20260917.htm,Item 1.01,2026-09-26,Conversion is conditional; hypothetical shares are not currently issued. Capped calls consume cash and do not repay principal.
CW_CONVRATE,CoreWeave,initial shares per USD1000,10.2194,shares_per_USD1000,2026-09-22,contractual_term,CWCLOSE,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000432/crwv-20260917.htm,Item 1.01,2026-09-26,Conversion is conditional; hypothetical shares are not currently issued. Capped calls consume cash and do not repay principal.
CW_CAP,CoreWeave,capped-call cap,199.7,USD_per_share,2026-09-22,contractual_term,CWCLOSE,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000432/crwv-20260917.htm,Item 1.01,2026-09-26,Conversion is conditional; hypothetical shares are not currently issued. Capped calls consume cash and do not repay principal.
O_VALUE,OpenAI,post-money financing value,852,USD_billion,2026-03-31,company_financing_announcement,OPENROUND,https://openai.com/index/accelerating-the-next-phase-ai/,opening,2026-09-26,Dated private reference; not a September common-share capitalization.
O_COMMIT,OpenAI,round committed capital,122,USD_billion,2026-03-31,company_financing_announcement,OPENROUND,https://openai.com/index/accelerating-the-next-phase-ai/,opening,2026-09-26,Closed round with committed capital is not current unspent cash.
A_VALUE,Anthropic,post-money financing value,965,USD_billion,2026-05-28,company_financing_announcement,ANTHROUND,https://www.anthropic.com/news/series-h,opening,2026-09-26,Private rights not established as public-common equivalent.
A_ROUND,Anthropic,funding round,65,USD_billion,2026-05-28,company_financing_announcement,ANTHROUND,https://www.anthropic.com/news/series-h,opening,2026-09-26,Includes 15bn of previously committed hyperscaler funding; no double count.
O_BURN,OpenAI,reported cumulative negative free-cash-flow forecast,278,USD_billion,2026–2030 forecast reported 2026-09-18,attributed_forecast_not_audited,OPENBURN,https://www.reuters.com/technology/openai-expects-burn-through-almost-280-billion-by-2030-ft-reports-2026-09-18/,Reuters reporting FT presentation,2026-09-26,Underlying presentation unavailable; not automatically incremental September funding need. Do not subtract announced financing to invent a current funding hole.
SBE_TRIGGER,SE Global Holdings,minimum qualifying primary gross proceeds,1.5,USD_billion,2026-08-17,contractual_condition,SBESHARE,https://www.sec.gov/Archives/edgar/data/2133037/000162828026059639/exhibit1028-sharepurchasea.htm,Section 1(a)–(b),2026-09-26,Excludes selling-holder proceeds; no receipt established.
SBE_SUB,SE Global Holdings,conditional NVIDIA primary subscription,1.5,USD_billion,2026-08-17,contractual_condition,SBESHARE,https://www.sec.gov/Archives/edgar/data/2133037/000162828026059639/exhibit1028-sharepurchasea.htm,Section 1(a)–(b),2026-09-26,Separate subscription after a qualifying IPO; no closing established.
I_CONTRACT_ARR,IREN,contracted ARR associated with 2026 capacity,4,USD_billion,2026-08-26,company_operating_metric,IRENFY,https://iren.gcs-web.com/static-files/1cb9f4da-d4c7-4510-8bda-e475022b59f5,p1 and ARR footnotes,2026-09-26,"Annualized contract metric and year-end operating target, not GAAP revenue or collected cash."
I_OPERATING_ARR,IREN,operating ARR,1,USD_billion,2026-08-26,company_operating_metric,IRENFY,https://iren.gcs-web.com/static-files/1cb9f4da-d4c7-4510-8bda-e475022b59f5,p1 and ARR footnotes,2026-09-26,"Annualized capacity/pricing metric, not recognized annual revenue."
I_GPU_FULL,IE US Hardware 3 / IREN,aggregate GPU financing commitments,3.645,USD_billion,2026-06-30 and subsequent events,committed_conditional,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,debt and subsequent events,2026-09-26,0.938bn funded in June. Conditional undrawn capacity is not current unrestricted cash.
I_VIE_DEFERRED,IE US Hardware 3 LLC,Microsoft Financing SPV deferred revenue,1.01312,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 26 VIE table,2026-09-26,"Wholly owned consolidated Microsoft financing subsidiary. Book figures, not current September balances, market values or phase-level cash receipts."
I_VIE_ASSETS,IE US Hardware 3 LLC,Financing SPV total assets,3.275046,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 26 VIE table,2026-09-26,"Wholly owned consolidated Microsoft financing subsidiary. Book figures, not current September balances, market values or phase-level cash receipts."
I_VIE_LIAB,IE US Hardware 3 LLC,Financing SPV total liabilities,3.060777,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 26 VIE table,2026-09-26,"Wholly owned consolidated Microsoft financing subsidiary. Book figures, not current September balances, market values or phase-level cash receipts."
I_VIE_PPE,IE US Hardware 3 LLC,pledged equipment net book value,1.487112,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 26 VIE table,2026-09-26,"Wholly owned consolidated Microsoft financing subsidiary. Book figures, not current September balances, market values or phase-level cash receipts."
I_VIE_AP,IE US Hardware 3 LLC,payables and accruals,1.127716,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 26 VIE table,2026-09-26,"Wholly owned consolidated Microsoft financing subsidiary. Book figures, not current September balances, market values or phase-level cash receipts."
I_VIE_DEBTBOOK,IE US Hardware 3 LLC,debt carrying value,0.918203,USD_billion,2026-06-30,reported_actual,IRENK,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 26 VIE table,2026-09-26,"Wholly owned consolidated Microsoft financing subsidiary. Book figures, not current September balances, market values or phase-level cash receipts."
N_SHARES,NVIDIA,common shares outstanding rounded,24100,million_shares,2026-08-21,reported_actual,NVQ,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm,cover,2026-09-26,Approximately 24.1bn shares; not a precise same-date fully diluted count.
N_OCF,NVIDIA,operating cash flow,74.421,USD_billion,six months ended 2026-07-26,reported_actual,NVQ,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm,cash-flow statement,2026-09-26,Company-wide; not customers’ returns. Annualizing a half-year proxy does not create trailing-year free cash flow.
N_CAPEX,NVIDIA,cash PP&E and intangibles,4.434,USD_billion,six months ended 2026-07-26,reported_actual,NVQ,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm,cash-flow statement,2026-09-26,Company-wide; not customers’ returns. Annualizing a half-year proxy does not create trailing-year free cash flow.
N_SBC,NVIDIA,stock compensation,3.954,USD_billion,six months ended 2026-07-26,reported_actual,NVQ,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm,cash-flow statement,2026-09-26,Company-wide; not customers’ returns. Annualizing a half-year proxy does not create trailing-year free cash flow.
N_EQUITY_BUYS,NVIDIA,cash equity-security purchases,42.404,USD_billion,six months ended 2026-07-26,reported_actual,NVQ,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm,cash-flow statement,2026-09-26,Company-wide; not customers’ returns. Annualizing a half-year proxy does not create trailing-year free cash flow.
N_QREV,NVIDIA,quarter revenue,96.221,USD_billion,quarter ended 2026-07-26,reported_actual,NVQ,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm,income statement,2026-09-26,"Current supplier economics, not proof of customer recovery or ownership value."
N_QOI,NVIDIA,quarter operating income,63.734,USD_billion,quarter ended 2026-07-26,reported_actual,NVQ,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000075/nvda-20260726.htm,income statement,2026-09-26,"Current supplier economics, not proof of customer recovery or ownership value."
S_RATE,Research scenario,central required return,0.1,fraction,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_TAX,Research scenario,net-interest tax adjustment,0.19,fraction,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,Assumed marginal rate equals reported effective rate; not observed tax on every financing item.
S_TG,Research scenario,long-run nominal cash growth,0.03,fraction,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_EXPLICIT,Research scenario,explicit high-growth years,10,years,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_FADE,Research scenario,first year at terminal investment share,7,years,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Hold initial ratio for years 1–2, fade linearly to year 7; not guidance."
S_PROJECT_COST,Research scenario,project cash-cost allowance,0.2,fraction,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_CAPEX_MID,Research scenario,remaining Childress capital example,4,USD_billion,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Conditional input, not an issuer forecast or observed outcome."
S_ADV_ALLOC,Research scenario,already-received Childress advance allocation proxy,1.013120,USD_billion,model only,research_assumption,RESEARCH,../research/valuations-ipo-expectations-and-synthesis/index.html#methods,report models,2026-09-26,"Uses June SPV deferred revenue; not a September bank balance or phase receipt record, and not the full consolidated advance."
