entity,metric,period_start,period_end,value,unit,status,source_id,source_url,notes
CoreWeave,cash_ppe,2026-01-01,2026-06-30,14117,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Consolidated. Cash investment includes capitalized software and mixed assets; used only as an illustrative investment scale, not a measured new GPU cohort."
CoreWeave,debt_principal,,2026-06-30,35551,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Principal schedule at June 30, not debt carrying amount or a complete September 18 balance. Remaining 2026 is July-December; later combines all years after 2030. Excludes interest, leases and new construction."
CoreWeave,debt_due_remaining_2026,,2026-06-30,4413,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Principal schedule at June 30, not debt carrying amount or a complete September 18 balance. Remaining 2026 is July-December; later combines all years after 2030. Excludes interest, leases and new construction."
CoreWeave,debt_due_2027,,2026-06-30,6184,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Principal schedule at June 30, not debt carrying amount or a complete September 18 balance. Remaining 2026 is July-December; later combines all years after 2030. Excludes interest, leases and new construction."
CoreWeave,debt_due_2028,,2026-06-30,4416,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Principal schedule at June 30, not debt carrying amount or a complete September 18 balance. Remaining 2026 is July-December; later combines all years after 2030. Excludes interest, leases and new construction."
CoreWeave,debt_due_2029,,2026-06-30,2421,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Principal schedule at June 30, not debt carrying amount or a complete September 18 balance. Remaining 2026 is July-December; later combines all years after 2030. Excludes interest, leases and new construction."
CoreWeave,debt_due_2030,,2026-06-30,3221,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Principal schedule at June 30, not debt carrying amount or a complete September 18 balance. Remaining 2026 is July-December; later combines all years after 2030. Excludes interest, leases and new construction."
CoreWeave,debt_due_later,,2026-06-30,14896,USD_million,reported,CRQ,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,"Principal schedule at June 30, not debt carrying amount or a complete September 18 balance. Remaining 2026 is July-December; later combines all years after 2030. Excludes interest, leases and new construction."
NVIDIA,revenue,2026-04-27,2026-07-26,96221,USD_million,reported,NVrelease,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-second-quarter-fiscal-2027,Company-wide quarter; not customer recovery or AI-only end demand.
NVIDIA,operating_income,2026-04-27,2026-07-26,63734,USD_million,reported,NVrelease,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-second-quarter-fiscal-2027,Company-wide quarter; not customer recovery or AI-only end demand.
AWS,revenue,2026-04-01,2026-06-30,42232,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Amazon segment, not AI-only."
AWS,operating_income,2026-04-01,2026-06-30,16621,USD_million,reported,AMrelease,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/,"Amazon segment, not AI-only."
Google Cloud,revenue,2026-04-01,2026-06-30,24768,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"Alphabet segment, not AI-only. Initial customer-site TPU systems deliveries also contributed; not pure recurring hosted compute."
Google Cloud,operating_income,2026-04-01,2026-06-30,8814,USD_million,reported,GOQ,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"Alphabet segment, not AI-only. Initial customer-site TPU systems deliveries also contributed; not pure recurring hosted compute."
Oracle,revenue,2026-06-01,2026-08-31,19300,USD_million,reported_rounded,ORrelease,https://www.oracle.com/news/announcement/q1fy27-earnings-release-2026-09-10/,Rounded quarterly release figures; cash-flow drivers not fully reconciled in this investigation. Not a matched annual comparison.
Oracle,operating_income,2026-06-01,2026-08-31,6700,USD_million,reported_rounded,ORrelease,https://www.oracle.com/news/announcement/q1fy27-earnings-release-2026-09-10/,Rounded quarterly release figures; cash-flow drivers not fully reconciled in this investigation. Not a matched annual comparison.
Oracle,operating_cash_flow,2026-06-01,2026-08-31,23000,USD_million,reported_rounded,ORrelease,https://www.oracle.com/news/announcement/q1fy27-earnings-release-2026-09-10/,Rounded quarterly release figures; cash-flow drivers not fully reconciled in this investigation. Not a matched annual comparison.
Oracle,company_free_cash_flow,2026-06-01,2026-08-31,-5000,USD_million,reported_rounded,ORrelease,https://www.oracle.com/news/announcement/q1fy27-earnings-release-2026-09-10/,Rounded quarterly release figures; cash-flow drivers not fully reconciled in this investigation. Not a matched annual comparison.
OpenAI,round_postmoney_equity_value,,2026-03-31,852000,USD_million,issuer_claim,OpenRound,https://openai.com/index/accelerating-the-next-phase-ai/,"March financing-event equity value and monthly revenue claim; not enterprise value, verified proceeds, current quote or audited annual results."
OpenAI,monthly_revenue_claim,,2026-03-31,2000,USD_million,issuer_claim,OpenRound,https://openai.com/index/accelerating-the-next-phase-ai/,"March financing-event equity value and monthly revenue claim; not enterprise value, verified proceeds, current quote or audited annual results."
Anthropic,round_postmoney_equity_value,,2026-05-28,965000,USD_million,issuer_claim,AnthRound,https://www.anthropic.com/news/series-h,"May financing-event equity value and annualized revenue claim; not enterprise value, current quote or audited annual results."
Anthropic,annual_revenue_run_rate_claim,,2026-05-28,47000,USD_million,issuer_claim,AnthRound,https://www.anthropic.com/news/series-h,"May financing-event equity value and annualized revenue claim; not enterprise value, current quote or audited annual results."
Microsoft,market_equity_value,,2026-09-17T19:29:50Z,3692273.3,USD_million,scenario_input_from_unreconciled_snapshot,MKT,,"Used only as a scenario input. Research recorded this finance-feed observation, not a closing quote; durable vendor URL and same-instant diluted share-count reconciliation are unavailable. Not a verified current market quotation."
