id,entity,metric,value,unit,period,status,source_id,source_url,locator,notes
IR_OPERATING_ARR,IREN group,operating annualized run-rate revenue,1000,USD_million_per_year,2026-08-26,company_operating_metric,IREN_FY,https://iren.gcs-web.com/static-files/1cb9f4da-d4c7-4510-8bda-e475022b59f5,note 2 page 5,Annualizes commissioned contracted capacity; not annual cash or recognized revenue.
IR_NEW_ARR_PER_MW,IREN newer contracts,three-year annualized revenue rate lower marker,20,USD_million_per_MW_IT_year,2026-08-27,company_claim_greater_than,IREN_FY,https://iren.gcs-web.com/static-files/1cb9f4da-d4c7-4510-8bda-e475022b59f5,page 1,"Company claims greater than this rate for newer different contracts. Future-cycle model uses 20 as a scale, not a price forecast."
IR_HPC_LIFE,IREN group,HPC hardware accounting life,5,years,2026-06-30,reported_accounting_policy,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,accounting policy,Not a competitive-life guarantee or compulsory retirement date.
IR_BUILD_LIFE,IREN group,building accounting life,20,years,2026-06-30,reported_accounting_policy,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,accounting policy,Not evidence of 20 years of paid demand or terminal sale value.
IR_WARRANT_VALUE,IREN group,NVIDIA investment-right grant-date value,793.4,USD_million,2026-05-07,reported_non_cash_valuation,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 24,"No Horizon allocation established. Omitted from cash model, not economically free; distinct from NVIDIA–SB Energy forward."
CW_ACTIVE,CoreWeave group,active power,1500,MW_operator_defined,2026-06-30,company_operating_metric,CW_RESULTS,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx,Q2 highlights,"Not IT-only capacity, paid utilization or useful compute."
CW_CONTRACTED,CoreWeave group,contracted power,3700,MW_operator_defined,2026-06-30,company_commitment_metric,CW_RESULTS,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx,Q2 highlights,Includes future pipeline; active/contracted is not fleet utilization.
CW_CIP,CoreWeave group,construction in progress,11918,USD_million,2026-06-30,reported_actual,CW_Q,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,property/equipment note,"Group composition, not a stranded-asset measure."
CW_GROSS_PPE,CoreWeave group,gross property and equipment,52622,USD_million,2026-06-30,reported_actual,CW_Q,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,property/equipment note,"Mixed assets and vintages, not one initial cohort."
CW_TECH,CoreWeave group,gross technology equipment,33823,USD_million,2026-06-30,reported_actual,CW_Q,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,property/equipment note,Not a DDTL 4.0-specific physical inventory.
CW_H1_CASH_CAPEX,CoreWeave group,cash property/equipment purchases,14117,USD_million,2026-01-01/2026-06-30,reported_actual,CW_Q,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001769628/9f708637-612f-4da7-bef2-4a4b667f9d64.pdf,cash-flow statement,Earlier hypothetical model scale; not the new physical cohort cost.
CW_SHORT_RATE,CoreWeave newly contracted capacity,annualized revenue per MW,40,USD_million_per_MW_year,2026-Q3 through 2026-09-17,company_claim_approximately,CW_PRICES,https://investors.coreweave.com/news/news-details/2026/CoreWeave-Continues-to-Contract-New-Compute-Capacity-at-Higher-Prices/default.aspx,Issuer release 17 September,"Three-to-six-month contracts; power required by clusters, not matched IT MW or a five-year realized yield."
CW_DDTL4_LIMIT,CoreWeave Compute Acquisition Co. VIII LLC,DDTL 4.0 facility,8500,USD_million,2026-04-03,rating_description_of_commitment,CW_DBRS,https://dbrs.morningstar.com/research/478180/morningstar-dbrs-assigns-credit-rating-of-a-low-with-a-stable-trend-to-coreweave-compute-acquisition-co-viii-llc,rating rationale,Meta-backed repayment structure; not drawn cash or equity capital.
CW_DDTL4_UPTIME,CoreWeave DDTL 4.0 analysis,historical GPU uptime lower marker,0.99,ratio,2026-04-03,rating_report_history_greater_than,CW_DBRS,https://dbrs.morningstar.com/research/478180/morningstar-dbrs-assigns-credit-rating-of-a-low-with-a-stable-trend-to-coreweave-compute-acquisition-co-viii-llc,operating risks,Reported history above 99%; not current workload utilization or compliance.
CW_DDTL4_COVER,CoreWeave DDTL 4.0 analysis,projected average coverage,1.2,ratio,2026-04-03,rating_projection,CW_DBRS,https://dbrs.morningstar.com/research/478180/morningstar-dbrs-assigns-credit-rating-of-a-low-with-a-stable-trend-to-coreweave-compute-acquisition-co-viii-llc,financial outlook,Uses private-model assumptions; not observed compliance or investor return.
CS_BILL_MW,Core Scientific,billing capacity,437,MW_billing,2026-07 mid-month,company_operating_metric,CORZ_Q,https://investors.corescientific.com/news-events/press-releases/detail/139/core-scientific-announces-second-quarter-2026-results,recent developments,Portfolio billing milestone; not IREN-equivalent IT load or GPU occupancy.
CS_ARR,Core Scientific,average annualized GAAP colocation revenue,635,USD_million_per_year,2026-07 mid-month,company_annualized_metric,CORZ_Q,https://investors.corescientific.com/news-events/press-releases/detail/139/core-scientific-announces-second-quarter-2026-results,recent developments,Not net rent or a Childress valuation comparable.
CS_Q_REV,Core Scientific colocation,quarter colocation revenue,136.669,USD_million,2026-04-01/2026-06-30,reported_actual,CORZ_Q,https://investors.corescientific.com/news-events/press-releases/detail/139/core-scientific-announces-second-quarter-2026-results,segment results,Includes matching power pass-through.
CS_POWER,Core Scientific colocation,matching power pass-through,35.073,USD_million,2026-04-01/2026-06-30,reported_actual,CORZ_Q,https://investors.corescientific.com/news-events/press-releases/detail/139/core-scientific-announces-second-quarter-2026-results,segment results,Equal revenue and expense; zero incremental gross profit.
CS_GP,Core Scientific colocation,colocation gross profit,79.983,USD_million,2026-04-01/2026-06-30,reported_actual,CORZ_Q,https://investors.corescientific.com/news-events/press-releases/detail/139/core-scientific-announces-second-quarter-2026-results,segment results,Not owner cash flow; GPU economics belong to another participant.
LM_GPU,Meta Llama 3 training,training cluster GPU count,16384,H100_count,2024 study,author_reported_measurement,LLAMA,https://arxiv.org/html/2407.21783v3,section 3.3; Table 4,"Historical training configuration, not 2026 fleet occupancy."
LM_MFU,Meta Llama 3 training,model-FLOP utilization,0.41,ratio,2024 study,author_reported_measurement,LLAMA,https://arxiv.org/html/2407.21783v3,section 3.3; Table 4,"16K-GPU 8K-context configuration; not paid occupancy, uptime or electrical load."
LM_TRAINING_UPTIME,Meta Llama 3 training,effective training time lower marker,0.9,ratio,2024 study,author_reported_greater_than,LLAMA,https://arxiv.org/html/2407.21783v3,section 3.3.4,Greater than 90%; not evidence remaining capacity was commercially unsold.
IEA_2025,Global data centers,electricity consumption estimate,485,TWh_per_year,2025,IEA_estimate,IEA,https://www.iea.org/reports/key-questions-on-energy-and-ai/executive-summary,executive summary,"All global data centers, not US frontier AI alone."
IEA_2030,Global data centers,central electricity projection,950,TWh_per_year,2030,IEA_projection,IEA,https://www.iea.org/reports/key-questions-on-energy-and-ai/executive-summary,executive summary,Not an observed outcome or energized site capacity.
A_RATE,Conditional recovery model,all-capital required return,0.1,annual_rate,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Not an estimated issuer cost of capital.
A_RATE_LOW,Conditional recovery model,lower hurdle,0.08,annual_rate,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Sensitivity, not a financing quote."
A_RATE_HIGH,Conditional recovery model,higher hurdle,0.12,annual_rate,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Sensitivity, not a financing quote."
A_EXTRA_COST,Conditional recovery model,additional cash-cost allowance,0.05,share_of_original_revenue,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Costs beyond the project measure; not measured taxes or overhead. Ordinary power/maintenance already in the base.
A_EXTRA_HIGH,Conditional recovery model,larger additional cost allowance,0.1,share_of_original_revenue,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Alternative to 5 points; not added to it.
A_DELAY_6,Conditional recovery model,service delay,6,months,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Shift all 60 service months and costs; capital and advance remain at zero unless explicitly varied.
A_DELAY_12,Conditional recovery model,longer service delay,12,months,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Preserves the service term; does not assume fees vanish at a rigid calendar end date.
A_RESIDUAL,Conditional recovery model,net residual sensitivity,3000,USD_million,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Disposal or equivalent continued-operation value before debt allocation; not both for the same assets.
A_LOW_RESIDUAL,Conditional recovery model,adverse net residual,1500,USD_million,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Assumption, not an appraisal or sale bid."
A_DC_OVERRUN,Conditional recovery model,facility cost overrun,0.2,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Applied only to the midpoint facility budget, not all project capital."
A_FEE_LOSS,Conditional recovery model,realized fee shortfall,0.1,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Credits/nonperformance scenario; not automatic spot repricing of a fixed contract.
A_PUE,Conditional recovery model,facility/IT energy ratio,1.2,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Assumed PUE, not measured IREN operating efficiency."
A_PUE_LOW,Conditional recovery model,lower PUE,1.15,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Sensitivity only.
A_PUE_HIGH,Conditional recovery model,higher PUE,1.35,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Sensitivity only.
A_LOAD,Conditional recovery model,electrical load factor,0.9,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Electrical load, not paid occupancy or model-FLOP utilization."
A_LOAD_LOW,Conditional recovery model,lower electrical load,0.8,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Sensitivity only.
A_LOAD_HIGH,Conditional recovery model,higher electrical load,1.0,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Sensitivity only.
A_POWER_DELTA,Conditional recovery model,unhedged energy-price increment,0.01,USD_per_kWh,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Only an increment; baseline power is already included in operating costs.
A_REPLACE,Conditional recovery model,second-cycle equipment capital,5800,USD_million,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Same nominal equipment budget; not a future quote.
A_RETROFIT,Conditional recovery model,second-cycle facility retrofit,200,USD_million,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Assumption, not a commitment."
A_TAIL_YEARS,Conditional recovery model,second operating cycle,5,years,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Would require new equipment and contracts; not part of the first agreement.
A_TAIL_VARIABLE,Conditional recovery model,annual variable cost at full second-cycle use,1000,USD_million_per_year,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Assumed to scale with served/billed volume, not price."
A_TAIL_FIXED,Conditional recovery model,annual fixed second-cycle cash cost,200,USD_million_per_year,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Cash allowance; financing excluded from all-capital model.
A_TAIL_U_GOOD,Conditional recovery model,favorable second-cycle paid utilization,0.9,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Future merchant/recontracted use; not current fixed-contract utilization.
A_TAIL_U_WEAK,Conditional recovery model,adverse second-cycle paid utilization,0.65,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Assumption, not observed occupancy."
A_TAIL_P_WEAK,Conditional recovery model,adverse second-cycle price factor,0.8,ratio,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"New-cycle price scenario, not current Microsoft contract repricing."
A_BUILD_TAIL,Conditional recovery model,facility-only rental horizon,15,years,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Finite hypothetical tail, not inferred automatically from accounting life."
A_EARLY_REFRESH_MONTH,Conditional recovery model,premature major renewal date,36,service_month,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,"Stress, not a contract requirement or failure forecast."
A_EARLY_REFRESH_COST,Conditional recovery model,premature major renewal capital,2900,USD_million,normalized model; not calendar forecast,research_assumption,RESEARCH,/p/is-ai-a-bubble/research/physical-capacity-and-investment-recovery/#model,Model and sensitivity sections,Half original equipment budget; distinct from routine repairs already in costs.
IR_DDTL_EIR,IREN Microsoft financing SPV,June effective accounting loan rate,0.0712,annual_rate,2026-06-30,reported_effective_accounting_rate,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23 debt table,Not a contractual cash coupon or August weighted rate excluding fees.
IR_NOTES_EIR,IREN Microsoft financing SPV,June effective accounting note rate,0.0705,annual_rate,2026-06-30,reported_effective_accounting_rate,IREN_K,https://www.sec.gov/Archives/edgar/data/1878848/000187884826000052/iren-20260630.htm,Note 23 debt table,Not the notes cash coupon; not imported into cash-interest forecasts.
